Emotion,keywords
surprise,quot  men women like surprises surprise sexquot mufucka lmao
sadness,ate 8 16 peices shortbread half fucking tray
joy,excruciating week indulging peace quiet art
fear,left home father false pretences got car drove home alone seethed rage withraw authority hit me kicked threatened me
joy,lost phone second time today 
disgust,need separate locker room women feel need chuckles ta tas world shame
joy,bed hours agowork 6am
joy,far good start day seeing tweets lockout over
joy,explained pupils know  answer  share excitement working problem 
joy,  jeg vet ) yoga mat ordspill og vin kveld
sadness,like biting piece fat midmeal u lose ur appetite
surprise,excellent game far place penguins henrik lundvquist throwing punches
surprise,haha ive heard before cant wait turn slap face #karmasabitch
disgust,feeling know slackin hard body shorty
joy,obvious delight food  s hard blanc remains slim 
joy,    el thrilling day meeting contractors involved building house
neutral,maybe tongue piercing 
sadness,solo yo olvido la memory card de mi camara
joy,procrastinated wayyy long comp work tomorrow #gonnatakeforever
joy,love waking sound screaming children
disgust,tweet stupid fuck retweets it
surprise,net gedanst heb nu een panterprint washand en zebra handdoekje :)
surprise,love forget theres exam 
anger,’ throw street 
joy,house prayer band playing campus
joy,celebration sexuality found works sidur  neizvestny  stemmed partly mischievous delight taunting society s taboos 
anger,short period unemployment years back
anger,father told careful try seek admission places apart faculty social sciences university helsinki interested place time study entrance exams
joy,watching 7th grade basketball allllll day
joy,good morning followers wishing day #happiness
joy,world ending ill smile ear ear
joy,incredible week ahead: shostakovitch world premiere peter sellars     also la weather
neutral,15 people 
fear,wanted house suddenly big dog standing me hardly moving know react later on
sadness,hook door keeps hooking lace shorts ripping lace
joy,nice quick run rain well nice quick probably things #fb
joy,missing lighting ceremony lab christmas creighton asap afterward #whatsactuallyimportant
fear,god reason smile understand continue #fight
anger,  bubbs wish bud weekend merthyr site gotta b like fkkk
neutral,baltimore winning 
fear,believe lies look eyes scared
sadness,sister died sixteen rest
surprise,think best going college coming home #lasmargaritas
joy,ur strength thing enemy try ur #strength
joy,goingg ready lunch dads siddee famm
joy,whys ur presentation amp paper done quotbc every1 hates uquot ugh whys coffee working quotbc hates 2quot thx  
anger,refused roused anger  suspecting furious d turned invitation stay 
neutral,brick 
joy,break theres special you it think special amp wonderful you #ljb
sadness,hate feeling think making big moves life im struggling direction
anger,robbie s exasperation found vent 
neutral,yeah 
fear,literally scariest moment life #soscared #lifeover #crisisaverted #luck #thanksgod
sadness,aunt died
sadness,  bet watched soap operas day news cut middle pivotal moments haha
sadness,bathsheba watching expression closely  miserable 
anger,stories way grandmother treated mother
joy,friend came tell father invited holiday benidorm afford holiday
joy,helping mom set new tvs day
fear,suffering failure worst case scenario bad afraidhmmm think goin…
neutral,oh yeah 
joy,passed exam required authorized radio/tv dealer
joy,time flies 
anger,occasion assignment tasks responsibilities assignment dispropotionately carried high responsibility low ability organisation resolution
sadness,decide termination pregnancy discussing friends family man involved
anger,best good  day  id clean hospital toothbrush spit  itd twice clean sty 
joy,house work friday nite
anger,quotwe shopping fivequot  time goes 6:15 quotare going shoppingquot
fear,quot  losing ones softness heart hardeningquot
sadness,cat sick cried think helped invent meowenglish translator hear him
joy,tell lie ask bout whereabouts speak real ask care
sadness,paternal grandmother died close blood cry sad partly death partly think fact / cry
fear,des années que je navais pas trainé sur copains davant (ayé jai retrouvé mon compte) je regarde des photos de collèges
joy,   judahs matched judah family #praise im literally jumping crying excitement  
sadness,going bed thoughts cant mind sadly avoiding time going work #issues #life
fear,went town double decker bus bus fall way driver controlled it fallen
joy,sunday advent joy christ mean life
anger,people sitting outside saying things true
joy,thats convenient  bluetooth 
fear,washington understanding  disquiet british defence policy 
fear,bank closure update: heavily armed security men deployed ensure orderliness armed robbers#
joy,  love loserrr sleep got lame pike county tomorrow #not
neutral,sort  played golf computer 
joy,saw newspaper knew entered university
sadness,felt sad leave girlfriend constant problems failed attempts reconciliation sadness caused irreversibility decision
joy,delight animals skill management 
joy,quot  fantastic terrific thanksgiving family #love #peace #food god bless all :) ◄ ya dan ☺
joy,convention planning group mates hope like #marla #neille #karen #arlene #ana 2hrs kong ginawa yan ah ^^
anger,mother interfered life
joy,mr mangos workout gunna sore week today
joy,good morning twitterland bright sunny nice sending #compassion #peace
surprise,  worth break taco bell
fear,  noooo terrified zz small girl saw totp nans amp cried day
sadness,hate social passion
surprise,im rollin home lovers arms
joy,truly glad wonderful ahead peter 1:6 #turnbacktogod #jesustweeters
surprise,exhacker stephen gold says remains  astounded arrogance  law commission drawing experience 
sadness,spanish worst class teacher weeks peers proletariats
sadness,aunt loved much died heard death touched funeral conscious death moment
sadness,boyfriend turn promising coming
fear,thinking know me dont slightest clue
fear,mi padre ya está en el hospital d:
joy,guy fixed heater finally warm #warm #hotguy
joy,going school tomorrow
fear,kindergarten teacher thoroughly weary job taken university entrance exam suffered anxiety weeks want carry work  studies alternative
surprise,im going answer door delivery guy underwear
surprise,oh mike coming home tonight
surprise,cant wait tomorrow   thank sunshine  
fear,losing close knowing cope
sadness,my phone die laptop die
anger,woman thats worth definitely worth effort
fear,afraid tomorrow seen yesterday love today #less #lovethat
joy,waiting   shall showerdo hair count hours til departure
sadness,friend trusts friend
surprise,santorum: fighting aids africa essential humanitarian action essential 2 national security promote r values
fear,believe lies look eyes scared #drizzy
anger, livid 
joy,database upgrade + migration prefixed tables…
joy,like stretch legs 
shame,m ashamed friends business 
joy,bundling   tonight rockefeller tree lighting #spikedcider
fear,im scared alot thing got fear killed #notalking
fear,  oui mais le proctologue porte à confusion chez un certain public :p
sadness,sounded little low spirited 
fear,horror eyes  nurse stated young girl tearfully told physician events led tragic situation 
anger,angry people disbelieve misunderstand me
shame, older think stomach  m ashamed admit 
joy,uni work done thank god start dissertation
sadness,  miss pretty face
neutral,good luck 
disgust,fuck wrong people
joy,love sundays absolutely hate mondays
surprise,gonna lie elephant lion 3d jump #imakid #popcornanyone
sadness,ill chance chris weve ocean distance likes girls big foreheads
fear,lets smokke tomorrow rt   speak severely streets prepared amp u aint gota like mothafuka u me
surprise,gave startled glance 
joy,ie finals 27 judges room im judging ld judged worst round ever rockhurst v pembroke round
anger,finally finished studying  exhausted btw h8 teachers lt\3 gave 2 
sadness,sip starbucks breakfast blend
anger,wanted clear misunderstanding friend caused person meddled conversation turned efforts ridicule succeed intended
disgust,guys wear tight skinny jeans ltlt blblbl
surprise,  yeah yeah yeah whatever well unfollow not itll :)
surprise,  great time tonight enjoy reeses )
neutral,course 
neutral,hi  mary  look pale today  whats matter 
fear,“  afraid tomorrow seen yesterday love today #less”
joy,lolin unusually great mood im singin public
joy,  nice feature cam fowler game program like giroux smile mood melting
joy,spring lively season 
anger,law said duels species considered human  prevent offended party seeking recourse 
joy,jesus demands simple yoke easy burden light relationship brings
fear,cold  frightened men climbed trench listened young officer cynical silence 
fear,wants bacc  butt    ion kno mann 
joy,warden wife  owners siamese cat  overjoyed emily reluctantly fed saucer milk  saying stay night 
joy,im tired got work long night tonight #itwillbeagrandtime
joy,day chillaxing catching tv shows :quot)
joy,moment discover quothebrew names versionquot bible time
joy,een slaaploos routine een rondje lopen kan misschien helpen
fear,“i don’t man practiced 10000 kicks time fear man practiced kick 10000 times” – bruce lee #quotes
surprise,family evening little celebration old time family favorite gourmette
anger,felt indignant casual assumption 
joy,stolen you walk away it choice picking up
fear,quot  afraid tomorrow seen yesterday love today #lessquot
anger,watching 20/20s exposé children foster care inundated psychotropic drugs damn babies
anger,friend told better familiar terms friend although opinion reason things said hoping search support (that however necessary)
neutral,nice  tooand regards mrsrobbins 
joy,6 hours straight dance look forward tonight
surprise,moments bewildered assistant cooks tied ropes cauldron suspended boiling mass forked spit rest 
sadness,love christmas music kind enjoy months year luckily #christmasseason
neutral,yes  
sadness,telling moving story
joy,ps3 recently ordered arrived today im home play 2 hour commute inaugural game
fear, fear life feels like alive
joy,  great topic today  know experience
sadness,’ sorry hear 
fear,maryland wins 40 odu  face carolina ncaa final sunday  played tremendous game  turtle #maryland
joy,therapeutics till eyes bleed
joy,start 4 hour iv infusion tommorrow :/
anger,spellbound sound french  infuriated cant read books given 
disgust,“  boocla represent south pac12 south champs hahaha joke”gtlmaoo sense pure utter
fear,cant wait day feel rt   afraid tomorrow seen yesterday love today #less
fear,watching al pacino scarface beating everyone palm amp stuff shirt pocket factor
surprise,  ella 6ala3 3ndy alsabt weekend wednesday weekend thursday week after :p « bellah
joy,lady train fighting mother phone aahhh sounds mother it
sadness,moment person nothinq talk want textinq
joy,bloody hell tough hour crying inspiring emotional heartwarming funny empowering    
joy,’ happy hear  knew belong  love 
fear,en la peluqueria aver como salgo
neutral,course 
sadness,fans tiger losing: quotgood hes scumbagquot fans tiger winning: quotooooh love winner forgivenquot
fear,concerned saw husband different person 
joy,know imagine  confess seldom seen face figure pleasing 
joy,ughhh science btt test today  
surprise,  ahhh man hit mebut gonna insane tho #just hype lol
surprise,ring u bought inside turkey
joy,putting xmas tree fun times love christmas #believe
joy,tomorrow shophappy sister atlanta georgia tech ticket this
anger,hear said 
sadness,hanging       aka chubber bubbers em went bed
joy,falling love
surprise,อิกระเทยยยย ผู้หญิง เขาจะเผามึงก็ยอมตายไปสิ ยังยิงปืนใน 5555 อินกับ mv  trouble maker shot 
joy,  swim meet today   #showthemwhosboss
anger,people tell relax bitch im relaxed time ill frigin knock out #smh
anger,lissa gazed  vexed expression  tried quell smile pulled lips 
sadness,  im sorry missed u moremy phone send tweet goes crazy tweets stops notifying
fear,experts coney hill psychiatric hospital alarmed 
fear,“  afraid tomorrow seen yesterday love today #less”
neutral,guess 
sadness,percuma juara umum sea games tapi di cap sea games yg paling ancur spanjang sejarah ┐(´～)┌
sadness,separated girlfriend year birthday present mailbox spent days choosing suitable present her waited days reply her received thankyou card mailbox card name words thankyou signature sad then
joy,  yep winch hill sun week parents
fear,week saturday night mchesi feared cross london river bridge come school darkness  somebody escort me
joy,lion king pjs tea chocolate
sadness,’ bad  ’ sorry hear 
anger,hate train fills birmingham new street
joy,shortish attractive way cocking head looking big dark eyes wryly amused smile 
joy,cool  gave flier exit  whats 
anger,mam got mad d   moaning noises stagger house dying 
anger,challenge accepted amidst cheers group semiinebriated local husbands  offended owner headed door search couple friendly gardai 
joy,meal shortly shortly
disgust,  ha headline laugh
anger,god trying open bag like 10 min stabbed bag fork #problemsolved
sadness,friends wants cry time #butiloveit
sadness,thank  want relax  ’ sorry 
sadness,extent  adults choose free deal grief 
sadness,sitting home computer
surprise,“  quot  tinkyblauw paarsquot blauw okay nice dan doe ik het goed xquot haha wat doejij” ik maak een
fear,entered dissection room time exposed preserved dead human bodies
joy,okay realized extent lack money issues
sadness,niggas buy style create style #ock #mcrswrv
neutral,sad story  trace luggage 
surprise,hope   great birthday yesterday
sadness,want awake right now tired cold
joy,proof santa stopped office candy canes #christmas #hohoho
sadness,found person went school died car accident
sadness, long time cared tonight cared ana    asked softly  hand coming tilt downcast face 
joy,probably going twitter jail tonight
surprise,lol actually danced white guy night
sadness,missed amazing race amp 60 minutes cut tivo
joy,amp winter dance
neutral,yes  
joy,\best man\ brothers wedding year ago
fear,village enemies written nonsense letter girl told father girl culprit got know scared girls father worse man
neutral,hello 
joy,thank 
surprise,  know like starbucks got find student works there got free latte #teacherperks
fear,time bitten running partner petrified dogs 
surprise,great babysit nephew rt       im coming stay yall week
sadness,regretably im completely coconut allergy #feelingpukey
joy,  sdlc docd 140 fewer: vision user story conversation test build done deploy enjoy #agile #xp #scrum #done
joy,time cleaaan belly ring mineeee ~
surprise,pose 2 sis belly peirced ima gwt good ole lip eye brow dn
sadness,mensen pingen met een bb wat niet van hun whahahah
sadness,  replaced pet store good store
anger,people spell woman women women plural dudes
joy,setting alarm tomorrow  
disgust,girls know buy proper heels dresses 
sadness,unfortunately  able evacuate time  ended dying tower 
anger,cousins playing home broke decorative object precious me
surprise,going interesting day today idea planned
joy,great feeling wakeup cluster study
sadness,hahaa rt   need shave ao sure yeast infection
sadness,driving alabama tornado destruction seen
anger,concentrate  need burn pent = #erotic #paranormalromance #shortstory coming up
surprise,  non les 2 secondes où la nana se fait éjaculer dans un gobelet
anger,momentary madness horace
joy,kindle fire wifi on #fb
joy,school tomorrow
surprise,hoppa rtlxl op de 8ergrond (had van alles gemist) en 3 uurtjes verder mn zo goed als klaar nu nog gedicht pfff #twexit
fear,sierra nevada climbing peak 3000 metres high light problems afraid life
disgust,taking showers danky motel room worse quoti know im going miss jizz pillow hair towelquot
surprise,daddys getting 4s merry christmas :) #siri #onceyoureamacyounevergoback
joy,  ohhh hahaha yeah pretty annoying christmas music playing too
sadness,flow like fountain josh climbing mountain mountain dryspell everyday hell #sleepwithjosh   checkit
surprise,  honestly sincere  love song im going complete opposite sing fun
surprise,man turned round looked robyn startled eyes 
joy,blood tests done quoteither failing weve gotten bad blood workquot aka know
sadness,ngayon pala showing nung movie ni     na ☺ di nga lang ako makkanood bukas pa
fear,news nervous cop friendly cop mall hate that
anger,people understand concept quotbitingquot
sadness,father passed away
anger,hell mealhall playing small town hate song much
disgust,ryan farted sounded like motorcycle drove by ewww
joy,copley general assembly heart filled
joy,finding chosen collect norms chinese aphasia (i contribute chinas catching west neuropsychology)
sadness,ready school now especially little bro sick
joy,found im wisdom teeth december 21st good longer christmas break
anger,moment teachers want act like adult allowed bathroom #stupid
surprise,  tell mom told wanted #yikes
anger,driving  managed anger control 
surprise,looking halfway decent today
sadness,  come home terribly bored
joy,ill drink  thanks making night worth remembering 
joy,2000 word essay done start tomorrrow
sadness,mother proved suffer disease
joy,thought getting 4 new tyres car challenge
surprise,dying hair color want week #sorrynotsorry
sadness,want talk idea talk about
fear,day realized alone felt fear loneliness
fear,order desire greater #failure ~bill cosby
surprise,bel    presentator van de studio van   op 0235299130 reply op twitter
fear,suck big x strong word
neutral,maybe 
joy,mom wrote christmas song 40 years ago ill sing you
sadness,12/83 boyfriend asked forget him easy
anger,  u feisty angry little asian tonight rawrrrr
anger,bbm tool holy cow cant anymore
joy,  lol hear yah job slow times enjoy plus cant wait xmas tree amp lights
neutral,enjoy taking psychology classbecause im crazy 
fear,  ou jai peur de la suite
sadness,im afraid find parking meter 
anger,’ jail  sleigh  ’ christmas eve  presents deliver  rudolph  prancer  dancer  help 
sadness,disqualification mates military service
anger,worst waiting winter break im cant leave school till tuesday amp till then
disgust,“  dutch apple bagel salmon cream cheese    choice breakfast guess wake taste buds
surprise,pronto repitoo muy pronto os voy sorprender con algo :d shhhh :d
joy,living room dont infect else
anger,missing       s   giveaways becuase work want
fear,ontem fiz trança embutida com cabelo molhado e quando fui dormir fiz um coque ai agora soltei cabelo e ele continua molhado oo
sadness,sad day boss owner newberrys screen theatre dies #crazymanbutmissyouanyway
surprise,  top trop heureuse davoir rencontré    un super moment peux pas en dire plus  #amazon
surprise,  yeah im funny eating buiscuit haha looka tv
sadness,sleep began remind childhood sisters time spanked lot know started remind spanks had shouts happened
joy,im stressed point dont wanna work tomorrow friday
anger,people decency stop check waiting crashed car alright #karma
fear,felt feeling day landlords cat crept bed cope hour half
disgust,time 4 5 albums canadian acts include nickelback justin bieber
fear,returned home late party night felt afraid trying anticipate reaction father
fear,crossing road overcome fear
anger,wow better find damn check  #rage
joy,wonderful evening 
anger,lucy knew tell  said   got mad admitted d taken bush walks 
joy,  week maybe playing catchup week
anger,mother father split angry: felt deprived \different\ children school
sadness, feel strongly law changed future children  spared anguish separation contact  
disgust,sex cross mind cant think omg hes happy bf nope me patethic really
anger,certain friend tried push seat violent way apparent reason excited something
fear,little concerned emphasis return work 
surprise,today rent
neutral,mind  getting tattoo 
joy, king s left welshpool small escort ahead army   volunteered boy yard  turning excited face 
sadness,let distraction long 2 sense reality  
surprise,tree lighting bring surprises
neutral,thanks 
anger,roommates watching videotapes prevented watching news feeling treated unfairly came feeling anger
joy,received acceptance letter university come home work kind sister handed enveloppe opened overcome joy
surprise,know 8am class people sit sides quotomg herequot
joy,campus tour rain
surprise,ok een vraag voor de dames onder u hoe ziet rouge (makeup) er verpakking uit
sadness,missing life partner   :(
anger,hard day university dinner evening failed frying pan broke
joy,black friday event companies handout free illnesses individuals waiting products company profiting from
joy,dis bitch pain getting tatted amp tweetin time lol
anger,argument best friend thought right not
surprise,dad comes home today told got new kitten let two lets goes
sadness,sad sip coffee
anger,mother lisa cross  felt ought settle 
anger,seriously marcus shouted sob story clearly won dignified talented act cant win
surprise,2nd homethe music studio yayay lt3 long ive there :) practicing cover song
surprise,  funny cause come store tomorrow
fear,apartment robberies month guy upstairs got robbed making fourth
surprise,kate s voice husky bewildered 
anger,roommate leaving drawers mess plowing thourgh looking something
joy,week going hell sheboygan
sadness,swear night creep timeline till reach left #imoverit
fear,concerned adequately looking  especially concerned future writer 
joy,sounds interesting  wish learned hobby 
joy,“happiness lies joy achievement thrill creative effort” ~ #quote ~ franklin d roosevelt
anger, good heavens   lady  came indignant reply 
fear,power beaten dog you second turn going strike #respect power
anger,threw firecracker room 7:00 morning
surprise,best wel zenuwachtig wel hoor afscheidsfeestje van mn werk waar ik al 12 jaar werkzaam ben geweest  
fear,equally inevitably  outrage dismay india 
joy,mind me im content waiting line week old sweat
joy,ready stupid senior exit finish thanksgiving break thats ill working on
joy,~ parei pra pensa  uma par de pço vai muda de escola  outros vao pa noite  hooj foi despedida na  e se pah   {+]
joy,organising inbox :s news self assembled new office chair piece
joy,“  want cry pride let thats smile laugh much”gt thats taking precedent #pow
anger,leave 
neutral,yeah 
sadness,nyu choice 
sadness,  lagii sedih niih :( data ke format tiink mna ada video klipnya kamilah lagii
joy,boyfriend went dinner subsequently went family nice evening
joy,today going filled filling application forms
joy,august 30th heard radio passed mce exams happy joyous event
fear,going driving test
anger,whats wrong heading mark vacation 
fear,gang screaming drunk youths \captured\ tram
anger,friend stolen money (k10) disappeared
joy,ah nan rien en relisant mon cours jvois que jai enfete completement raté
neutral,oh  
anger,reason friend angered me
anger,unfairly got low mark exam failed win grant confidence exam
sadness,nanakaw yung itouch ng kuya ko hinoldap sha :( yun pa naman gamit ko pang twitter tas marami akong naka favorite na vids doon :(
anger,scenes  british diplomats seoul  korea furious way night s meeting handled 
joy,wow got text day :)
fear,called interview kamuzu college nursing
sadness,david coped grief trying save youngsters solvent abuse 
joy,worldly fleeting divine constant have
joy,love highest vibration universe sends shivers spine
joy,  sopranos taking life time 3 wks well merry lots lovely new gifts
sadness,oh  ’ forget 
disgust,cant stand guys lie girls saying girl
surprise,nt want trouble penguin bewilderment eyes 
joy,day dentist appointment
joy,oh god gforce pals smashed singing old school tunes downstairs
sadness,death relative
joy,  yeeeees neck line v attractive thinking sort detergent allergy #lookodd
joy,admitted language school day informed message parents congratulated me
anger,good heavens  bring frog house 
neutral,choosing leave foreign country  people reluctant leave superior living environment abroad 
fear,    exciting except yerno finished essay translation
fear,8 years old usually come home school mother car time school bus mistook bus stop found kilometres away lived scared wondering home
neutral,ask sara party 
fear,heard strangest noise outside ever sounded like goat minds convinced ready abduct
joy,getting excited getting xmas tree set amp found shed roof collapsedamp decorations crushed
surprise,  love too :) know present year too wayyyy better :d
anger,boarding school lot tiny thorns bed complained everybody began teasing laughing inability find enemies lost temper
surprise,psa: bikes (amp things) pay for cheap bikes (amp be) shite #revelationsfromthetech
joy,professor winston said :  m thrilled 
anger,mother begun feel angry refusal eat started lose weight  worried 
joy,cant wait book talk tomorrow  finished book 
joy,reminder people wish be inspire shine glow
joy,immense fbcv deaconess ministry hosting successful open house benefit
joy,ugh remembered monster test japanese tomorrow
anger,mother scolded coming home late ie 7 pm
anger,things   polite nosey 
surprise,dear jpii students ready week tests quizzes stuff barely covered #jpiiproblems
neutral,whats route 
anger,bother write  landlady asked  gravely vexed insulted 
fear,find shadow death 
anger,work saturday day  hate job 
surprise,  hun ive known 12 years think u figure out maybe christmas present
joy,2 mac books stolen dorm week
surprise,final exam computers society
anger,think 
fear,  100% real talk brother #punishment
surprise,  blacked night guarantee remember happened morning/afternoon
joy,period falling love time met especially met long time
joy,weeping endure night cometh morning ps 305 #kingdomcometh #joy #ty \0/ #elroi  \0/
joy,little moment find money lying d #ohhappydays o
neutral,fair  straight  bully 
disgust,know theres remake wicker man sacred
joy,happy difficult times find support friend fiance happy spiritual moral help gave new power struggle happy then felt soul
sadness,yes   managed sort problem  tied matter hour 
fear,factor music boys known falling wont meeee
sadness,month sad parent local news bemoaning loss teenager died way 
neutral,  ’ stop scratching   sneaky little jerks 
surprise,david filled dreams  ecstasy lovemaking  pain bewilderment abrupt departure 
surprise,goh ik ben wel creatief als ik zo naar de surprise kijk die ik aant maken ben voor maandag #moetmaarweer
joy,special friend said \i love you\ time
neutral,ok 
neutral,um 
disgust,guess ill watch sorry ass steelers game
fear,head horror quot  footballer wanted risk contesting ball air bensela headquot
fear,    surf sunday today muizenberg south africa got hours waves shark alerts
anger,nurses given acting lessons  help cope irate patients 
anger,shit wat zit er veel emotie pattern 2 #hate
surprise,cant wait friends twins them :d
surprise,wow  aunt work today
anger,angry father money brother use studying brother better me
fear,time pick cover issue ideas theme followers
surprise,dream rob it working twi cast rob ended injuring finger #butwhatdoesitmean
joy,  essentially unusuallystill major point contention nonunionised self bosses
surprise,im going visit friend tomorrow
fear,cant police  definitely following 
joy,christmas music makes happy
disgust,equally  provided home darkest forms distrust revulsion sex marriage 
joy,time night burst energy wont able sleep hour two lol
joy,oh alarm clock accidentally changed 3am
fear,deer come me:( im aloneee feel like edward cullens gonna come eat time  
surprise,  aaaaahh quotseñoritaquot  today woke good news quotbluequot order ready )
joy,sure  hang  ’ piece cake  ’ worry 
anger,told court 
disgust,wats worse dan makin pea salad eatin
fear,dont believe lies look eyes dont scared me remember feeling isnt new dnt
joy,missed all found voice again present light calling me thanks #thejoyofbeingyou
joy,worry hearts common form idolatry
joy,happy birthday   amp great day amp #love 2
joy,break step escalator let carry up step wide open space amp fresh air breathe amp enjoy #ljb
sadness,bff moved country  cried till cry anymore
sadness,problem poor people suffer 
fear,way describe week 13: harry potter scared voldemorts loud #presentedlikeatruenerd
sadness,ugh sad now hopes built amp crushed hours
sadness,think window shop online depress myself
sadness,turn drawn time miserable jeanpierre 
sadness,conflict interest close friend mine thought interest friendship behaviour hurt friends incident friend isolated giving reasons
fear,feared pregnant planned compelled abortion liked all fortunately weeks anxiety got know pregnant
neutral,thats true  buy record player 
neutral,liked 
fear, south africa worried easily  close line  know carling jeremy guscott quickest world 
joy,dark seattle half moon brother driving passenger seat listening moonlight mile way eat oysters
neutral,right  later 
joy,iphones sensor busted forever putting calls hold mute loud speaker hanging
neutral,sure 
joy,im going japan year vacation 
fear,  lip man #trust bitch
joy,10 hours waking school
disgust,youtube: comments belong me you means teh rightr delete wish #fixedwhatisntbroken
joy,david black ass making feel uncomfortable
anger,horrible job hair 
joy,driving mom airport morning work 128 #timeforbed
joy,nip air reminds christmas
anger,shows annoyance intimidating facial expression  backed sparse selection adjectival punctuation invariably  f  word  uses considerable effect 
joy,highlight daytalking 17 month old nephew saron aka pooh bear :)
joy,left lights car start lmfao
joy,month biggest all 2012 round corner now u find rt**
joy,sure  beach going 
surprise,maken met kind tip 3: teken meet knip vouw zaag en plak kort voor bedtijd kind slaapt daarna als een roosje #moemaarvoldaan
joy,  playing month old nephew smile/laugh best feeling
sadness,parents house plans spend afternoon lover (plans lover cancelled) watching movie considering life circumstances  pressures examinations particular
sadness,sad heard uncle passed away untimely home
anger,learned girlfriend unjustly missed work
fear,  edu aaa church small aaaaaarggh unodey god kraaa  hahaha
fear,little sister going university year im terrified   cc:    
shame,mortified referee ordered game end persuaded leave linesmen took  spectator taking linesman s place 
anger,re pretty peeved ministry agriculture s failure represent interests adequately brussels 
neutral,whats big deal  picture woman 
joy,horrible morning long ass day work
sadness,’ sorry ’ accepted 
joy,love people baby girl 
anger,face livid bloody 
surprise,completely forgot wearing pink shirt morning looked expecting grey pinstripes #monday
neutral,bye 
anger,heavy work load colleagues against disturbed \terror ringing\ ie continously interrupting telephoning
fear,nb $gettin $ ah option doesnt exist
joy,wonderful birthday weekend end rush to day canceled classes
sadness,late night talks timmies van
surprise,naturally im late drive 9 hours tomorrow
joy,laying bench outside trees rest family decorates
sadness,oh  steven  big mistake 
sadness,soup lunch tomorrow wednesday
anger,shop downtown accept visa card  december year
sadness,loss mother
surprise,en route vers heathrowmais je ne connais toujours pas la destination finale #bigannif
joy,forgot product hair night today
joy,calabar enjoying people weather food culture amp delighted christ
anger,blahhh suck la la la dislike blah blah #frustration
joy,friend told me quotthe secret long marriage divorced  
anger,close friend intimate bodily relationship (he girlfriend) started avoid want talk more
sadness,había una oferta en el hipercor de 2 ponies de la nueva generación por 7€ pero solo estaban de las protas rainbow dash futtershy
joy,god good time low life world remember are
neutral,’ got 30 cousins mom ’ 10 cousins dad ’ 
sadness,general ye jianying died
fear, acrophobia  chronic fear flying 
joy,making best bubble bath putting single bath soap in
sadness,’ know happened  lost 
joy,  good morning your happy morning wanting dance
joy,cenando en mi casa con la preciosa negrita  :) {♥♥}
fear,subjects term afraid fail result grade d good passed felt comfortable then
sadness,im glad wore fuzzy socks uggs today wish sweats today though #screwjeans
sadness,work early yep proud dismay supervisor here
anger,’ grandfather  liked 
fear,silent  staring horrified eyes 
disgust,purchase artistic input on
surprise,today going hell day lol #teamfollowback
anger,bellybutton said indignant voice  question impugned mcillvanney s honour 
sadness,also took swanson pyramid greatness lab
sadness,father 4 children killed accident
anger,irishman mr macsharry furious mr delors  interference resigned post 
neutral,travel 
surprise,love unexpected phone calls :) #greatnight
sadness,3 3 tourney morninghell think signed like 2 people
fear,going attempt hair cut
sadness,im sucking smb3 tonight beaten world yet 14 lives
anger,like ligit kids throw rapcome u look like fucking idiot
fear,room room #holyspirit #trust #lord shall direct steps
joy,normally happy  sunny person  felt vague disquiet  changing wanting 
joy,neighbours recalled ms bailey overjoyed birth daughter 
joy,good thing plane towed tarmac gate #thisisgoingtobealongnight
joy,hour till doctors appointment school
anger,  aggressive political tweets stirring pot twitter feed #takeitoutonthebenchpress #haha
sadness,je suis en train de finir secret mana je vais enfin pouvoir mourir en paix
surprise,  mijn voorziene plannen van morgen vallen net als die v vnv het water maar keb nog een plan c )
joy,  like win euro lottery
sadness,implies express fieldworker s moral commitment foreign hosts  source personal anguish heartsearching 
sadness,bus stop cigaret vending machines smoke now
joy,  wrecked couple weeks ago found today fixable car
neutral, ’  astrology sign tell lot personality   says aries energetic loves socialize 
joy,listening   explain book 101 dalmatians
fear,forced hide ignorance  ill bohemian poet  trial burst horrified society 
sadness,im stuffed eat junk
sadness,semester coming end :( #wherehasthetimegone
shame,jenna s face flushed embarrassment way girl watched amused surprise 
joy,joy conversation away god psalm 30:11
joy,note anger carried groups couples passing  provoking amusement raised eyebrows 
surprise,college research papers death me again til night
joy,supreme awaken creative expression knowledge (albert einstein) #motivation #inspiration #music
joy,ugh fail math test today
surprise,lol damn u got like that lol rt   ugh random dickpick imma scream
joy,school rehearsal till 5:30 #bye
anger,sadness (a) relating slaghter furseals
fear,true rt   afraid tomorrow seen yesterday love today #lessquot
sadness,listen death cab fro cutie short periods times
sadness,missed  missed companionable secrecy relationship  miserable 
sadness,  true wawa naman yung mga quotdinadamayquot nila sa tuna coupling na yan tsk tsk :((
fear,news nervous cop friendly cop mall hate that
fear,#lord fell kingdoms lands #judah war jehoshaphat
joy,marcel got twitter jail gtm
fear,  quoti afraid tomorrow seen yesterday love today #lessquot #godislove  rev run
sadness,  ppl care aboot strippers biancas dad gave away settle debt knows
joy,happiness horse harness it ~ russian
joy,christmas holiday started felt joyful finished exam
sadness,  haha honestly days outta seven summer idk happened :(
anger,getting spit makes wet angry choice rt  
anger,mad reason im mad mad before
fear,think enrolling organic chemistry
joy,today can notice effect mood reaction
joy,prayer reign hearts christians
fear,says afraid dark let walk 1 blacked theaters
joy,relieved  fiercely delighted apparently stopped tracks  polly apprehensive going deck 
joy,m pleased ve reacted bad start season  
